Start_time, Request_Type, Latency, Response_Code
18:31:23.036450300, POST, 15.0, 201
18:31:23.037451100, POST, 15.0, 201
18:31:23.037451100, POST, 15.0, 201
18:31:23.037451100, POST, 16.0, 201
18:31:23.038452100, POST, 15.0, 201
18:31:23.037451100, POST, 15.0, 201
18:31:23.053465700, POST, 1.0, 201
18:31:23.052465200, POST, 15.0, 201
18:31:23.054467100, POST, 13.0, 201
18:31:23.053465700, POST, 15.0, 201
18:31:23.053465700, POST, 15.0, 201
18:31:23.052465200, POST, 15.0, 201
18:31:23.052465200, POST, 16.0, 201
18:31:23.053465700, POST, 15.0, 201
18:31:23.053465700, POST, 15.0, 201
18:31:23.052465200, POST, 16.0, 201
18:31:23.052465200, POST, 16.0, 201
18:31:23.052465200, POST, 17.0, 201
18:31:23.053465700, POST, 16.0, 201
18:31:23.052465200, POST, 17.0, 201
18:31:23.052465200, POST, 18.0, 201
18:31:23.052465200, POST, 18.0, 201
18:31:23.052465200, POST, 18.0, 201
18:31:23.068479500, POST, 15.0, 201
18:31:23.071482400, POST, 13.0, 201
18:31:23.068479500, POST, 16.0, 201
18:31:23.069480100, POST, 15.0, 201
18:31:23.069480100, POST, 15.0, 201
18:31:23.070480900, POST, 14.0, 201
18:31:23.068479500, POST, 16.0, 201
18:31:23.071482400, POST, 13.0, 201
18:31:23.068479500, POST, 16.0, 201
18:31:23.070480900, POST, 14.0, 201
18:31:23.070480900, POST, 15.0, 201
18:31:23.068479500, POST, 17.0, 201
18:31:23.069480100, POST, 16.0, 201
18:31:23.068479500, POST, 16.0, 201
18:31:23.068479500, POST, 17.0, 201
18:31:23.070480900, POST, 15.0, 201
18:31:23.085494600, POST, 15.0, 201
18:31:23.085494600, POST, 15.0, 201
18:31:23.085494600, POST, 15.0, 201
18:31:23.085494600, POST, 15.0, 201
18:31:23.085494600, POST, 15.0, 201
18:31:23.084493700, POST, 16.0, 201
18:31:23.086495800, POST, 15.0, 201
18:31:23.085494600, POST, 15.0, 201
18:31:23.084493700, POST, 16.0, 201
18:31:23.084493700, POST, 17.0, 201
18:31:23.085494600, POST, 16.0, 201
18:31:23.085494600, POST, 16.0, 201
18:31:23.085494600, POST, 16.0, 201
18:31:23.085494600, POST, 17.0, 201
18:31:23.084493700, POST, 18.0, 201
18:31:23.084493700, POST, 18.0, 201
18:31:23.101509500, POST, 2.0, 201
18:31:23.100508800, POST, 2.0, 201
18:31:23.101509500, POST, 1.0, 201
18:31:23.100508800, POST, 15.0, 201
18:31:23.102510, POST, 13.0, 201
18:31:23.103511500, POST, 12.0, 201
18:31:23.102510, POST, 13.0, 201
18:31:23.103511500, POST, 13.0, 201
18:31:23.101509500, POST, 15.0, 201
18:31:23.103511500, POST, 13.0, 201
18:31:23.103511500, POST, 12.0, 201
18:31:23.102510, POST, 14.0, 201
18:31:23.101509500, POST, 15.0, 201
18:31:23.100508800, POST, 16.0, 201
18:31:23.101509500, POST, 15.0, 201
18:31:23.100508800, POST, 16.0, 201
18:31:23.100508800, POST, 16.0, 201
18:31:23.103511500, POST, 13.0, 201
18:31:23.102510, POST, 15.0, 201
18:31:23.116522900, POST, 15.0, 201
18:31:23.116522900, POST, 15.0, 201
18:31:23.117524, POST, 14.0, 201
18:31:23.117524, POST, 14.0, 201
18:31:23.116522900, POST, 15.0, 201
18:31:23.116522900, POST, 15.0, 201
18:31:23.117524, POST, 15.0, 201
18:31:23.117524, POST, 15.0, 201
18:31:23.116522900, POST, 16.0, 201
18:31:23.117524, POST, 15.0, 201
18:31:23.116522900, POST, 16.0, 201
18:31:23.116522900, POST, 16.0, 201
18:31:23.116522900, POST, 16.0, 201
18:31:23.117524, POST, 16.0, 201
18:31:23.116522900, POST, 17.0, 201
18:31:23.117524, POST, 17.0, 201
18:31:23.132537500, POST, 1.0, 201
18:31:23.131536800, POST, 16.0, 201
18:31:23.132537500, POST, 15.0, 201
18:31:23.132537500, POST, 15.0, 201
18:31:23.133538700, POST, 15.0, 201
18:31:23.131536800, POST, 16.0, 201
18:31:23.134539400, POST, 14.0, 201
18:31:23.133538700, POST, 15.0, 201
18:31:23.133538700, POST, 15.0, 201
18:31:23.132537500, POST, 16.0, 201
18:31:23.132537500, POST, 16.0, 201
18:31:23.134539400, POST, 15.0, 201
18:31:23.133538700, POST, 15.0, 201
18:31:23.131536800, POST, 17.0, 201
18:31:23.131536800, POST, 18.0, 201
18:31:23.131536800, POST, 18.0, 201
18:31:23.131536800, POST, 18.0, 201
18:31:23.150553900, POST, 13.0, 201
18:31:23.148552200, POST, 14.0, 201
18:31:23.149552800, POST, 14.0, 201
18:31:23.148552200, POST, 15.0, 201
18:31:23.147551100, POST, 15.0, 201
18:31:23.149552800, POST, 14.0, 201
18:31:23.149552800, POST, 14.0, 201
18:31:23.149552800, POST, 15.0, 201
18:31:23.148552200, POST, 15.0, 201
18:31:23.149552800, POST, 14.0, 201
18:31:23.149552800, POST, 15.0, 201
18:31:23.149552800, POST, 14.0, 201
18:31:23.148552200, POST, 16.0, 201
18:31:23.148552200, POST, 16.0, 201
18:31:23.149552800, POST, 15.0, 201
18:31:23.148552200, POST, 16.0, 201
18:31:23.164566800, POST, 15.0, 201
18:31:23.164566800, POST, 15.0, 201
18:31:23.164566800, POST, 14.0, 201
18:31:23.164566800, POST, 15.0, 201
18:31:23.163565800, POST, 16.0, 201
18:31:23.164566800, POST, 15.0, 201
18:31:23.164566800, POST, 15.0, 201
18:31:23.163565800, POST, 16.0, 201
18:31:23.163565800, POST, 16.0, 201
18:31:23.163565800, POST, 17.0, 201
18:31:23.164566800, POST, 16.0, 201
18:31:23.164566800, POST, 17.0, 201
18:31:23.163565800, POST, 18.0, 201
18:31:23.164566800, POST, 17.0, 201
18:31:23.164566800, POST, 17.0, 201
18:31:23.163565800, POST, 18.0, 201
18:31:23.179581400, POST, 15.0, 201
18:31:23.181581900, POST, 14.0, 201
18:31:23.180581500, POST, 15.0, 201
18:31:23.181581900, POST, 14.0, 201
18:31:23.180581500, POST, 15.0, 201
18:31:23.180581500, POST, 15.0, 201
18:31:23.179581400, POST, 16.0, 201
18:31:23.181581900, POST, 15.0, 201
18:31:23.181581900, POST, 14.0, 201
18:31:23.181581900, POST, 14.0, 201
18:31:23.181581900, POST, 14.0, 201
18:31:23.180581500, POST, 16.0, 201
18:31:23.181581900, POST, 14.0, 201
18:31:23.180581500, POST, 16.0, 201
18:31:23.179581400, POST, 17.0, 201
18:31:23.179581400, POST, 17.0, 201
18:31:23.196595900, POST, 15.0, 201
18:31:23.196595900, POST, 15.0, 201
18:31:23.195595100, POST, 15.0, 201
18:31:23.196595900, POST, 14.0, 201
18:31:23.195595100, POST, 16.0, 201
18:31:23.195595100, POST, 15.0, 201
18:31:23.196595900, POST, 14.0, 201
18:31:23.196595900, POST, 15.0, 201
18:31:23.196595900, POST, 15.0, 201
18:31:23.196595900, POST, 15.0, 201
18:31:23.196595900, POST, 16.0, 201
18:31:23.196595900, POST, 16.0, 201
18:31:23.195595100, POST, 17.0, 201
18:31:23.196595900, POST, 16.0, 201
18:31:23.196595900, POST, 16.0, 201
18:31:23.196595900, POST, 16.0, 201
18:31:23.212610500, POST, 2.0, 201
18:31:23.213611300, POST, 2.0, 201
18:31:23.212610500, POST, 2.0, 201
18:31:23.213611300, POST, 2.0, 201
18:31:23.212610500, POST, 2.0, 201
18:31:23.211609500, POST, 15.0, 201
18:31:23.215613300, POST, 11.0, 201
18:31:23.213611300, POST, 13.0, 201
18:31:23.211609500, POST, 15.0, 201
18:31:23.215613300, POST, 11.0, 201
18:31:23.211609500, POST, 15.0, 201
18:31:23.211609500, POST, 15.0, 201
18:31:23.215613300, POST, 11.0, 201
18:31:23.215613300, POST, 11.0, 201
18:31:23.212610500, POST, 15.0, 201
18:31:23.211609500, POST, 15.0, 201
18:31:23.215613300, POST, 11.0, 201
18:31:23.212610500, POST, 15.0, 201
18:31:23.211609500, POST, 16.0, 201
18:31:23.211609500, POST, 16.0, 201
18:31:23.212610500, POST, 15.0, 201
18:31:23.227624, POST, 2.0, 201
18:31:23.227624, POST, 3.0, 201
18:31:23.226623500, POST, 3.0, 201
18:31:23.226623500, POST, 3.0, 201
18:31:23.226623500, POST, 3.0, 201
18:31:23.226623500, POST, 3.0, 201
18:31:23.230626800, POST, 1.0, 201
